17,user7@example.com,299.03,transfer,pending,0.00,299.03
18,user1@example.com,651.86,payment,pending,0.00,651.86
19,user7@example.com,268.20,payment,pending,0.00,268.20
20,user8@example.com,328.01,transfer,pending,0.00,328.01
21,user8@example.com,72.22,transfer,pending,0.00,72.22
22,user2@example.com,684.81,payment,pending,0.00,684.81
23,user5@example.com,848.16,payment,failed,0.00,848.16
24,nazri@gmail.com,472.95,transfer,pending,0.00,472.95
25,user9@example.com,764.19,transfer,pending,0.00,764.19
26,user9@example.com,654.14,transfer,pending,0.00,654.14
27,user2@example.com,389.79,payment,failed,0.00,389.79
28,user4@example.com,846.20,payment,pending,0.00,846.20
29,user8@example.com,945.91,payment,pending,0.00,945.91
30,user0@example.com,774.70,payment,pending,0.00,774.70
31,user8@example.com,191.90,transfer,pending,0.00,191.90
32,user4@example.com,414.67,payment,pending,0.00,414.67
33,user1@example.com,447.36,transfer,pending,0.00,447.36
34,user5@example.com,572.87,payment,pending,0.00,572.87
35,user3@example.com,788.77,transfer,pending,0.00,788.77
36,user0@example.com,663.95,payment,pending,0.00,663.95
37,user9@example.com,741.59,transfer,failed,0.00,741.59
38,user8@example.com,946.30,payment,failed,0.00,946.30
39,user1@example.com,836.66,transfer,pending,0.00,836.66
40,user9@example.com,867.77,transfer,pending,0.00,867.77
41,user9@example.com,454.08,transfer,pending,0.00,454.08
42,user4@example.com,808.07,payment,pending,0.00,808.07
43,user2@example.com,95.70,transfer,pending,0.00,95.70
44,user9@example.com,153.24,payment,failed,0.00,153.24
45,user5@example.com,539.61,transfer,pending,0.00,539.61
46,user2@example.com,1009.69,transfer,pending,0.00,1009.69
47,user3@example.com,763.74,payment,pending,0.00,763.74
48,user2@example.com,772.15,payment,pending,0.00,772.15
49,user6@example.com,292.77,payment,pending,0.00,292.77
50,user8@example.com,65.64,payment,pending,0.00,65.64
51,user4@example.com,583.49,payment,pending,0.00,583.49
52,user6@example.com,759.67,transfer,failed,0.00,759.67
53,user1@example.com,603.18,payment,pending,0.00,603.18
54,user9@example.com,104.36,transfer,pending,0.00,104.36
55,user9@example.com,662.35,transfer,pending,0.00,662.35
56,user2@example.com,506.89,transfer,pending,0.00,506.89
57,user7@example.com,925.69,payment,pending,0.00,925.69
58,user0@example.com,24.64,transfer,pending,0.00,24.64
59,user0@example.com,948.02,transfer,pending,0.00,948.02
60,user6@example.com,411.24,payment,failed,0.00,411.24
61,user0@example.com,41.91,transfer,failed,0.00,41.91
62,user4@example.com,530.21,payment,failed,0.00,530.21
63,user5@example.com,826.85,transfer,pending,0.00,826.85
64,user8@example.com,603.85,payment,pending,0.00,603.85
65,user8@example.com,918.61,payment,failed,0.00,918.61
66,user5@example.com,486.56,transfer,pending,0.00,486.56
67,user1@example.com,354.53,payment,failed,0.00,354.53
68,user5@example.com,656.63,payment,pending,0.00,656.63
69,user5@example.com,883.33,payment,pending,0.00,883.33
70,nazri@gmail.com,187.53,payment,pending,0.00,187.53
71,user2@example.com,894.22,transfer,pending,0.00,894.22
72,user4@example.com,117.97,transfer,pending,0.00,117.97
73,user1@example.com,252.90,transfer,pending,0.00,252.90
74,user8@example.com,223.83,transfer,pending,0.00,223.83
75,user2@example.com,652.46,payment,pending,0.00,652.46
76,user8@example.com,747.97,payment,failed,0.00,747.97
77,user6@example.com,253.87,payment,pending,0.00,253.87
78,user5@example.com,720.34,payment,pending,0.00,720.34
79,user0@example.com,849.84,transfer,pending,0.00,849.84
80,user5@example.com,392.09,payment,failed,0.00,392.09
81,user0@example.com,715.72,transfer,pending,0.00,715.72
82,user8@example.com,588.60,payment,failed,0.00,588.60
83,user7@example.com,516.14,payment,pending,0.00,516.14
84,user4@example.com,407.63,transfer,pending,0.00,407.63
85,user8@example.com,203.54,transfer,pending,0.00,203.54
86,nazri@gmail.com,509.57,transfer,pending,0.00,509.57
87,user8@example.com,692.94,payment,failed,0.00,692.94
88,user1@example.com,643.77,transfer,failed,0.00,643.77
89,user5@example.com,674.75,transfer,pending,0.00,674.75
90,user0@example.com,208.93,payment,pending,0.00,208.93
91,user6@example.com,361.96,payment,pending,0.00,361.96
92,user5@example.com,309.37,payment,pending,0.00,309.37
93,user7@example.com,387.36,transfer,pending,0.00,387.36
94,user7@example.com,307.78,transfer,pending,0.00,307.78
95,user4@example.com,372.00,payment,pending,0.00,372.00
96,user6@example.com,583.25,transfer,pending,0.00,583.25
97,user1@example.com,561.97,payment,failed,0.00,561.97
98,nazri@gmail.com,395.42,payment,pending,0.00,395.42
99,user2@example.com,471.48,payment,pending,0.00,471.48
100,user1@example.com,974.42,transfer,failed,0.00,974.42
101,user1@example.com,300.79,transfer,pending,0.00,300.79
102,user8@example.com,935.22,payment,pending,0.00,935.22
103,user1@example.com,913.79,payment,pending,0.00,913.79
104,user4@example.com,997.93,payment,failed,0.00,997.93
105,user3@example.com,371.36,transfer,pending,0.00,371.36
106,user0@example.com,321.78,payment,pending,0.00,321.78
107,user7@example.com,883.76,payment,pending,0.00,883.76
108,user6@example.com,446.02,payment,pending,0.00,446.02
109,user0@example.com,239.16,payment,pending,0.00,239.16
110,user6@example.com,187.37,transfer,pending,0.00,187.37
111,user9@example.com,306.29,payment,pending,0.00,306.29
112,nazri@gmail.com,497.06,payment,pending,0.00,497.06
113,user9@example.com,96.87,transfer,pending,0.00,96.87
114,user3@example.com,498.68,payment,failed,0.00,498.68
115,user7@example.com,411.99,payment,failed,0.00,411.99
116,user5@example.com,736.61,payment,pending,0.00,736.61
